127.0.0.1 - - [10/Apr/2023:15:46:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Apr/2023:15:46:29 +0900] "GET /frontWeb2/a01_begin/a01_start.html HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [10/Apr/2023:15:46:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:30:23 +0900] "GET /frontWeb2/a02/a01_test.html HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:30:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:31:18 +0900] "GET /a01_begin/a11_metaTag.html HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:31:30 +0900] "GET /a02/a01_test.html HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:31:55 +0900] "GET /a02/a01_test.html HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:31:57 +0900] "GET /frontWeb2/a02/a01_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:32:31 +0900] "GET /frontWeb2/a02/a01_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:32:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:32:33 +0900] "GET /a01_begin/a11_metaTag.html HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:54:46 +0900] "GET /frontWeb2/a01_begin/a12_meta2.html HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:54:46 +0900] "GET /frontWeb2/a01_begin/img01.jpg HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:54:46 +0900] "GET /a00_img/banana.jpeg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:54:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:32:31 +0900] "GET /frontWeb2/z01_home/0406.html HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:33:26 +0900] "GET /frontWeb2/z01_home/0410.html HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:35:33 +0900] "GET /a00_img/img01.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:35:54 +0900] "GET /a00_img/img01.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:36:03 +0900] "GET /a00_img/img01.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:36:10 +0900] "GET /frontWeb2/z01_home/frontWeb2/a00_img/img01.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:36:11 +0900] "GET /frontWeb2/z01_home/frontWeb2/a00_img/img01.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:36:13 +0900] "GET /frontWeb2/a00_img/img01.jpg HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:40:38 +0900] "GET /frontWeb2/z01_home/img03.jpg HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:41:21 +0900] "GET /a00_img/img05.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:41:56 +0900] "GET /frontWeb2/a00_img/img01.jpg HTTP/1.1" 304 -
